127.0.0.1 - - [08/Jul/2026:03:11:06 +0000] "GET / HTTP/1.1" 500 45 "-" "curl/8.20.0"
127.0.0.1 - - [08/Jul/2026:03:11:35 +0000] "GET / HTTP/1.1" 500 45 "-" "curl/8.20.0"
127.0.0.1 - - [08/Jul/2026:06:49:35 +0000] "GET / HTTP/1.1" 500 45 "-" "curl/8.20.0"
127.0.0.1 - - [08/Jul/2026:06:50:08 +0000] "GET / HTTP/1.1" 200 52380 "-" "curl/8.20.0"
172.18.0.3 - - [08/Jul/2026:06:50:26 +0000] "GET /backend/admin/menu/index HTTP/1.1" 302 5 "http://localhost/backend/site/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
172.18.0.3 - - [08/Jul/2026:06:50:26 +0000] "GET /backend/site/login HTTP/1.1" 200 5813 "http://localhost/backend/site/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
172.18.0.3 - - [08/Jul/2026:06:50:26 +0000] "GET /backend/assets/829b4d82/css/font-awesome.min.css HTTP/1.1" 200 26711 "http://localhost/backend/site/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
172.18.0.3 - - [08/Jul/2026:06:50:26 +0000] "GET /backend/assets/4c31b683/css/bootstrap.css HTTP/1.1" 200 145933 "http://localhost/backend/site/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
172.18.0.3 - - [08/Jul/2026:06:50:26 +0000] "GET /backend/assets/478006c7/plugins/jvectormap/jquery-jvectormap-1.2.2.css HTTP/1.1" 200 824 "http://localhost/backend/site/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
172.18.0.3 - - [08/Jul/2026:06:50:26 +0000] "GET /backend/assets/478006c7/css/AdminLTE.min.css HTTP/1.1" 200 86394 "http://localhost/backend/site/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
172.18.0.3 - - [08/Jul/2026:06:50:26 +0000] "GET /backend/assets/c2fd326f/jquery.js HTTP/1.1" 200 285314 "http://localhost/backend/site/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
